Wl	R
1761	0.984
1762	0.984
1763	0.984
1764	0.984
1765	0.984
1766	0.984
1767	0.984
1768	0.984
1769	0.984
1770	0.984
1771	0.984
1772	0.984
1773	0.984
1774	0.984
1775	0.984
1776	0.984
1777	0.984
1778	0.984
1779	0.984
1780	0.984
1781	0.983
1782	0.984
1783	0.984
1784	0.984
1785	0.984
1786	0.984
1787	0.984
1788	0.984
1789	0.984
1790	0.984
1791	0.984
1792	0.984
1793	0.984
1794	0.984
1795	0.984
1796	0.983
1797	0.984
1798	0.984
1799	0.984
1800	0.984
1801	0.984
1802	0.984
1803	0.984
1804	0.984
1805	0.983
1806	0.984
1807	0.983
1808	0.982
1809	0.983
1810	0.983
1811	0.983
1812	0.982
1813	0.983
1814	0.983
1815	0.983
1816	0.983
1817	0.983
1818	0.982
1819	0.982
1820	0.981
1821	0.982
1822	0.982
1823	0.982
1824	0.982
1825	0.982
1826	0.982
1827	0.981
1828	0.982
1829	0.982
1830	0.982
1831	0.981
1832	0.981
1833	0.980
1834	0.980
1835	0.980
1836	0.980
1837	0.981
1838	0.980
1839	0.981
1840	0.982
1841	0.981
1842	0.981
1843	0.980
1844	0.979
1845	0.980
1846	0.979
1847	0.979
1848	0.980
1849	0.980
1850	0.980
1851	0.980
1852	0.980
1853	0.979
1854	0.979
1855	0.979
1856	0.979
1857	0.979
1858	0.979
1859	0.979
1860	0.979
1861	0.979
1862	0.979
1863	0.980
1864	0.979
1865	0.979
1866	0.980
1867	0.979
1868	0.980
1869	0.979
1870	0.979
1871	0.980
1872	0.979
1873	0.979
1874	0.980
1875	0.979
1876	0.979
1877	0.978
1878	0.978
1879	0.978
1880	0.978
1881	0.977
1882	0.978
1883	0.978
1884	0.979
1885	0.978
1886	0.978
1887	0.978
1888	0.979
1889	0.978
1890	0.978
1891	0.978
1892	0.978
1893	0.979
1894	0.979
1895	0.978
1896	0.978
1897	0.978
1898	0.978
1899	0.979
1900	0.979
1901	0.979
1902	0.979
1903	0.979
1904	0.979
1905	0.979
1906	0.980
1907	0.977
1908	0.978
1909	0.978
1910	0.978
1911	0.979
1912	0.979
1913	0.979
1914	0.979
1915	0.980
1916	0.980
1917	0.979
1918	0.979
1919	0.979
1920	0.979
1921	0.978
1922	0.978
1923	0.979
1924	0.979
1925	0.979
1926	0.978
1927	0.978
1928	0.977
1929	0.977
1930	0.978
1931	0.978
1932	0.978
1933	0.978
1934	0.978
1935	0.977
1936	0.978
1937	0.978
1938	0.977
1939	0.977
1940	0.977
1941	0.977
1942	0.978
1943	0.977
1944	0.977
1945	0.978
1946	0.977
1947	0.978
1948	0.978
